Location,Type,Desc,Long Desc
Jita,Market Hub,Jita IV - Moon 4 - Caldari Navy Assembly Plant,The center of trade in New Eden
Amarr,Market Hub,Amarr VIII (Oris) - Emperor Family Academy,The second largest trade hub
Rens,Market Hub,Rens VI - Moon 8 - Brutor Tribe Treasury,Minmatar Trade Hub
Dodixie,Market Hub,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Gallente Trade Hub
Hek,Market Hub,Hek VIII - Moon 12 - Boundless Creation Factory,Minmatar Trade Hub
Oursulaert,Market Hub,Oursulaert III - Federation Navy Testing Facilities,Secondary Trade Hub
Tash-Murkon Prime,Market Hub,Tash-Murkon Prime II - Moon 1 - Kaalakiota Corporation Factory,Secondary Trade Hub
Agil,Market Hub,Agil VI - Moon 2 - CONCORD Logistic Support,Secondary Trade Hub
Molea,Monument,Cemetry and memorial to fallen capsuleers,Cemetry and memorial to fallen capsuleers
Saisio,Monument,"Katia Sae, explorer extraordinaire","Katia Sae, explorer extraordinaire"
Amarr,Monument,Amarrian Honor Guard,Amarrian Honor Guard
Amarr,Monument,Chribba; the most trustworthy,"Chribba, the most trustworthy"
New Eden,POI,The EVE Gate… where it all started,The EVE Gate… where it all started
C9N-CC,POI,"The remains of Steve, the first titan","The remains of Steve, the first titan"
B-R5RB,Monument,B-R5RB Titanomachy,B-R5RB Titanomachy
Luminaire,POI,The Scars of Caldari Prime,The Scars of Caldari Prime
Seyllin,POI,The Shattered Planet,The Shattered Planet
C-J6MT,Monument,The site of an epic battle and victory against the odds,The site of an epic battle and victory against the odds
Dead End,POI,The Monolith,The Monolith
Postouvin,POI,Kyonoke outbreak containement site,Kyonoke outbreak containement site
Eram,POI,Site One research site,Site One research site
Safizon,POI,The wreck of the Ef Saraph,The wreck of the Ef Saraph
PPG-XC,POI,The site of the Gallente Federation Legendary Trials,The site of the Gallente Federation Legendary Trials
Ienakkamon,POI,the ghost of The Solitaire titan,the ghost of The Solitaire titan
Lanngisi,Monument,Project Discovery Phase 1 Monument,Project Discovery Phase 1 Monument
